country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
Togo,TGO,Global South & Climate-Vulnerable Coalition,8406554,14265660408,2.8,76.6,False,True,False,0.33307345673387695,9.111938137791062,1696.9688659586318
Tonga,TON,Global South & Climate-Vulnerable Coalition,104192,,0.2,4.9,False,True,False,1.9195331695331694,47.02856265356265,
Trinidad and Tobago,TTO,Global South & Climate-Vulnerable Coalition,1507778,37513383973,34.6,1711.0,False,True,False,22.94767532090268,1134.7824414469503,24879.912011582608
Tuvalu,TUV,Global South & Climate-Vulnerable Coalition,9669,,0.0,0.3,False,True,False,0.0,31.026993484331367,
Uganda,UGA,Global South & Climate-Vulnerable Coalition,50015091,101995416951,6.3,131.4,False,True,False,0.12596198215454613,2.6272070563662475,2039.2928396551354
Vanuatu,VUT,Global South & Climate-Vulnerable Coalition,327786,,0.2,5.5,False,True,False,0.6101541859627928,16.7792401139768,
Yemen,YEM,Global South & Climate-Vulnerable Coalition,40583173,60852995288,10.1,708.0,False,True,False,0.24887161977206662,17.44565413847754,1499.4637133966828
Zambia,ZMB,Global South & Climate-Vulnerable Coalition,21314962,68469600029,12.0,300.8,False,True,False,0.562984817894585,14.112152768557598,3212.27877530347
India,IND,India,1450935785,10476248645535,3193.5,66072.5,False,False,False,2.2009933403083033,45.53785266244571,7220.339282992459
Albania,ALB,Rest of World,2791756,36171005594,4.4,307.9,False,False,True,1.5760689687780738,110.28900806517476,12956.363519591254
Algeria,DZA,Rest of World,46814302,595820067103,198.2,5476.6,False,False,False,4.233748908613441,116.98561691681316,12727.308571278068
Andorra,AND,Rest of World,81955,,0.4,16.7,False,False,False,4.880727228357025,203.7703617839058,
Anguilla,AIA,Rest of World,14623,,0.1,3.6,False,False,False,6.8385420228407305,246.18751282226629,
Antarctica,ATA,Rest of World,,,0.0,0.2,False,False,False,,,
Argentina,ARG,Rest of World,45696153,854914363923,171.1,9151.5,False,False,False,3.744297687378629,200.2684996262158,18708.672564252836
Armenia,ARM,Rest of World,2973843,39721734780,7.4,406.7,False,False,False,2.4883627010571843,136.75906898918336,13357.038276734851
Aruba,ABW,Rest of World,108076,,0.9,75.8,False,False,False,8.327473259558088,701.3583034161146,
